image		Red		Green		Blue		Black		Robot
		x	y	x	y	x	y	x	y	x	y
090247	50	350	550	350	200	200	400	550	450	100
090429	50	350	550	350	200	200	400	550	50	100
090618	50	350	550	350	200	200	150	550	50	100
090804	50	350	300	350	200	200	150	550	50	100
091042	50	350	300	350	200	200	150	550	400	450
091304	500	500	300	350	200	200	150	550	400	450
091521	500	500	300	350	200	100	150	550	400	450
091703	500	500	300	350	200	100	150	250	400	450
091915	500	500	450	250	200	100	150	250	400	450
092235	300	350	450	250	200	100	150	250	450	450
092515	300	350	300	350	200	100	150	250	450	450
092721	300	350	200	150	200	100	150	250	450	450
092959	300	350	200	150	260	270	150	250	400	100

